,ward,town_code,town_name,total_pop,pop_young,pop_working,pop_old,pc_young,pc_working,pc_old,gender_ratio,ageing_index,dependency_ratio,lat,lon
0,aoba,41010074000,青葉町,644,55,431,158,8.540372670807454,66.92546583850931,24.53416149068323,82.43626062322946,287.27272727272725,170.76102088167053,38.282909000000004,140.864572
1,aoba,41010080001,赤坂一丁目,454,67,288,99,14.757709251101323,63.436123348017624,21.80616740088106,111.16279069767442,147.76119402985074,122.26388888888889,38.292573,140.75152
2,aoba,41010080002,赤坂二丁目,1058,157,678,223,14.839319470699433,64.08317580340265,21.07750472589792,98.49906191369607,142.03821656050954,246.15634218289085,38.293149,140.742747
3,aoba,41010080003,赤坂三丁目,897,128,625,144,14.269788182831661,69.67670011148273,16.05351170568562,100.22321428571428,112.5,164.48,38.291691,140.745644
4,aoba,41010036000,あけぼの町,743,61,458,224,8.209959623149395,61.64199192462988,30.148048452220728,95.01312335958005,367.21311475409834,237.3187772925764,38.288158,140.864318
5,aoba,41010092001,旭ケ丘一丁目,2386,179,1767,440,7.502095557418273,74.05699916177704,18.440905280804696,87.8740157480315,245.81005586592178,450.13016411997734,38.288328,140.883157
6,aoba,41010092002,旭ケ丘二丁目,2625,270,1809,546,10.285714285714285,68.91428571428571,20.8,90.21739130434783,202.22222222222223,560.9253731343283,38.291787,140.886357
7,aoba,41010092003,旭ケ丘三丁目,1770,169,1270,331,9.548022598870057,71.75141242937853,18.70056497175141,76.11940298507463,195.85798816568047,344.3070866141732,38.29557,140.886606
8,aoba,41010092004,旭ケ丘四丁目,2075,243,1348,484,11.710843373493976,64.96385542168674,23.325301204819276,86.43306379155436,199.1769547325103,502.026706231454,38.299679,140.886382
9,aoba,41010023001,愛子中央一丁目,230,40,160,30,17.391304347826086,69.56521739130434,13.043478260869565,88.52459016393442,75.0,55.0,38.272525,140.76186
10,aoba,41010023002,愛子中央二丁目,719,102,454,163,14.186369958275383,63.143254520166906,22.67037552155772,98.07162534435263,159.80392156862746,185.46696035242292,38.276314,140.762894
11,aoba,41010023003,愛子中央三丁目,1244,176,712,356,14.14790996784566,57.234726688102896,28.617363344051448,84.29629629629629,202.27272727272728,380.7191011235955,38.275626,140.75874299999998
12,aoba,41010023004,愛子中央四丁目,549,94,322,133,17.122040072859747,58.65209471766849,24.225865209471767,93.30985915492957,141.48936170212767,162.19254658385094,38.275778,140.752982
13,aoba,41010023005,愛子中央五丁目,725,122,499,104,16.82758620689655,68.82758620689656,14.344827586206895,104.80225988700565,85.24590163934425,128.4488977955912,38.273114,140.75638600000002
14,aoba,41010023006,愛子中央六丁目,339,57,196,86,16.8141592920354,57.817109144542776,25.368731563421832,127.51677852348993,150.87719298245614,115.08163265306122,38.271861,140.759145
15,aoba,41010014001,愛子東一丁目,752,105,459,188,13.962765957446807,61.03723404255319,25.0,102.15053763440861,179.04761904761907,210.87581699346404,38.271351,140.778964
16,aoba,41010014002,愛子東二丁目,230,44,143,43,19.130434782608695,62.17391304347826,18.695652173913043,96.58119658119658,97.72727272727273,73.76923076923077,38.273126,140.774543
17,aoba,41010014003,愛子東三丁目,1049,224,684,141,21.353670162059103,65.2049571020019,13.44137273593899,95.34450651769087,62.94642857142857,173.7485380116959,38.274561,140.77607700000002
18,aoba,41010014004,愛子東四丁目,1256,189,795,272,15.047770700636942,63.29617834394905,21.656050955414013,108.29187396351576,143.9153439153439,295.77358490566036,38.275956,140.770746
19,aoba,41010014005,愛子東五丁目,1420,175,907,338,12.323943661971832,63.87323943661972,23.80281690140845,93.98907103825137,193.14285714285714,357.2943770672547,38.275594,140.7665
20,aoba,41010014006,愛子東六丁目,526,98,345,83,18.631178707224336,65.5893536121673,15.779467680608365,97.74436090225564,84.6938775510204,111.40579710144928,38.272085,140.767706
21,aoba,41010109000,荒巻,1582,98,1148,336,6.1946902654867255,72.56637168141593,21.238938053097346,130.94890510948903,342.85714285714283,344.5365853658537,38.257624,140.834028
22,aoba,41010091000,荒巻神明町,2085,168,1362,555,8.057553956834532,65.32374100719424,26.618705035971225,87.16337522441651,330.35714285714283,567.3348017621146,38.287388,140.859515
23,aoba,41010042000,荒巻中央,779,100,510,169,12.836970474967908,65.46854942233634,21.694480102695763,90.93137254901961,169.0,188.60784313725492,38.29076,140.858587
24,aoba,41010031001,荒巻本沢一丁目,403,40,263,100,9.925558312655088,65.2605459057072,24.81389578163772,95.63106796116504,250.0,115.20912547528518,38.288585999999995,140.848758
25,aoba,41010031002,荒巻本沢二丁目,481,43,305,133,8.93970893970894,63.409563409563404,27.650727650727653,95.52845528455285,309.3023255813954,147.0983606557377,38.290058,140.85297
26,aoba,41010031003,荒巻本沢三丁目,662,72,441,149,10.876132930513595,66.61631419939576,22.507552870090635,102.44648318042813,206.94444444444446,165.3265306122449,38.291283,140.854981
27,aoba,41010034001,一番町一丁目,2515,300,1759,456,11.928429423459244,69.94035785288271,18.131212723658052,87.68656716417911,152.0,473.05514496873224,38.256832,140.873123
28,aoba,41010034002,一番町二丁目,1211,162,849,200,13.37737407101569,70.10734929810074,16.51527663088357,86.88271604938271,123.45679012345678,219.08127208480565,38.258722999999996,140.872272
29,aoba,41010034003,一番町三丁目,48,2,19,27,4.166666666666666,39.58333333333333,56.25,71.42857142857143,1350.0,37.526315789473685,38.261112,140.872777
30,aoba,41010034004,一番町四丁目,76,3,35,38,3.9473684210526314,46.05263157894737,50.0,94.87179487179486,1266.6666666666665,46.57142857142857,38.264221,140.871389
